setting,model,manager_admission,terminal_treatment,terminal_control,treatment_minus_control,lock_in,confirmatory_status
cfgpipe checkpoint 1,Kimi-K2.6,external Core gate,0.8648648648648649,0.918918918918919,-0.05405405405405406,exact snapshot and failure-signature convergence,primary degradation criterion falsified
cfgpipe checkpoint 1,DeepSeek-V4-Flash,self-report,0.8648648648648649,,,behavioral convergence across distinct snapshots,stress probe; mixed-quality bootstrap
log_query checkpoint 1,Kimi-K2.6,external Core gate,0.9850746269,0.9378109453,0.0472636816,"behavioral convergence, snapshots remain distinct",valid opposite-direction boundary
xjq checkpoint 2,Kimi-K2.6,self-report,0.8954248366,0.8235294118,0.0718954248,transient drop followed by full recovery,valid opposite-direction boundary
cfgpipe sequential checkpoint 2,Kimi-K2.6,self-report,0.8308823529411765,0.3088235294117647,0.5220588235294118,shared rule propagated,valid early falsification; noisy control
execution_server sequential checkpoint 3,Kimi-K2.6 MaaS,self-report,0.9603960396039604,0.9405940594059405,0.0198019801980199,two recursive manager updates,invalid control action-boundary censoring
