arm,arm_label,layer,workers,valid_snapshots,unique_valid_snapshots,distinct_snapshot_fraction,dominant_snapshot_share,unique_failure_signatures,dominant_failure_signature_share,mean_pairwise_failure_jaccard,mean_all_score
no_transfer,No transfer,1,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.8333333333333334,0.9099099099099099
no_transfer,No transfer,2,3,3,3,1.0,0.3333333333333333,3,0.3333333333333333,0.2777777777777778,0.8738738738738739
no_transfer,No transfer,3,3,3,3,1.0,0.3333333333333333,3,0.3333333333333333,0.2525252525252525,0.8558558558558559
no_transfer,No transfer,4,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.8333333333333334,0.9099099099099099
no_transfer,No transfer,5,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.44,0.7027027027027027
no_transfer,No transfer,6,3,3,3,1.0,0.3333333333333333,3,0.3333333333333333,0.3148148148148148,0.6126126126126126
no_transfer,No transfer,7,3,3,3,1.0,0.3333333333333333,3,0.3333333333333333,0.28703703703703703,0.8828828828828829
no_transfer,No transfer,8,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.3333333333333333,0.9009009009009009
no_transfer,No transfer,9,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.3333333333333333,0.882882882882883
no_transfer,No transfer,10,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.8333333333333334,0.9099099099099099
no_transfer,No transfer,11,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.8333333333333334,0.9009009009009009
no_transfer,No transfer,12,3,3,3,1.0,0.3333333333333333,3,0.3333333333333333,0.2777777777777778,0.8738738738738739
self_report,Cumulative self-report,1,3,3,3,1.0,0.3333333333333333,1,1.0,1.0,0.918918918918919
self_report,Cumulative self-report,2,3,3,3,1.0,0.3333333333333333,2,0.6666666666666666,0.8333333333333334,0.9009009009009009
self_report,Cumulative self-report,3,3,3,2,0.6666666666666666,0.6666666666666666,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,4,3,3,2,0.6666666666666666,0.6666666666666666,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,5,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,6,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,7,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,8,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,9,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,10,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,11,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
self_report,Cumulative self-report,12,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.8918918918918919
local_acceptance,Local admission,1,3,3,3,1.0,0.3333333333333333,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,2,3,3,3,1.0,0.3333333333333333,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,3,3,3,3,1.0,0.3333333333333333,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,4,3,3,2,0.6666666666666666,0.6666666666666666,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,5,3,3,2,0.6666666666666666,0.6666666666666666,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,6,3,3,2,0.6666666666666666,0.6666666666666666,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,7,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,8,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,9,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.918918918918919
local_acceptance,Local admission,10,3,2,1,0.5,1.0,2,0.6666666666666666,0.38738738738738737,0.6126126126126127
local_acceptance,Local admission,11,3,2,1,0.5,1.0,2,0.6666666666666666,0.38738738738738737,0.6126126126126127
local_acceptance,Local admission,12,3,3,1,0.3333333333333333,1.0,1,1.0,1.0,0.918918918918919
