run_id,role,provider,problem,layer,workers,mean_all_score,valid_snapshots,unique_valid_snapshots,dominant_snapshot_share,full_snapshot_convergence,valid_failure_signatures,unique_failure_signatures,dominant_failure_signature_share,mean_pairwise_failure_jaccard,mean_received_results,mean_received_experience_chars,total_input_tokens,worker_all_passed
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,6,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,18,181169,727474,34|34|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,7,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,21,213929,1336880,34|34|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,8,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,24,246689,1250007,34|34|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,9,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,27,279449,1313934,34|34|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,10,3,0.6126126126126127,2,1,1.0,False,3,2,0.6666666666666666,0.38738738738738737,30,312209,1033866,34|0|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,11,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,33,340251,1490632,34|34|34
kimi-maas-self-report-r1,independent_self_report_replication,ModelArts MaaS,cfgpipe,12,3,0.6126126126126127,2,1,1.0,False,3,2,0.6666666666666666,0.38738738738738737,36,373014,1218155,0|34|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,1,3,0.9099099099099098,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.8333333333333334,0,0,114448,34|34|33
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,2,3,0.8738738738738739,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.2777777777777778,0,0,167764,32|34|31
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,3,3,0.8558558558558559,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.2525252525252525,0,0,128673,31|33|31
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,4,3,0.9099099099099098,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.8333333333333334,0,0,205218,33|34|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,5,3,0.7027027027027027,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.44,0,0,176320,33|12|33
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,6,3,0.6126126126126127,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.3148148148148148,0,0,202073,34|1|33
